Company ID,Sector,Location,2019*,2018,2017,2016,2015
0431-3759-9550-00,I,1643,"11,946","8,226","12,043",0,"12,471"
0433-8373-8192-58,I,9549,"7,702","6,353","6,548","6,680","6,781"
0434-1549-4960-00,I,6401,"8,024","7,141","4,898","4,997","5,072"
0436-0863-7100-00,E,2565,"62,691",0,"46,925","47,678","48,987"
0447-4972-3840-00,W,2560,"20,971","24,976","27,600","28,046","28,478"
0452-7785-6370-00,T,2598,"3,957,849","3,971,704","3,702,712","3,655,360","3,606,340"
0460-2603-3404-64,I,2523,"6,180","7,430","4,571","4,663","4,734"
0465-5505-3987-02,I,7308,0,0,0,0,0
0465-8024-0811-13,I,3372,0,0,0,0,0
0475-6464-5208-04,E,3209,0,0,0,0,0
0481-5756-9953-64,E,6424,"20,093","13,298","18,489","18,786","19,301"
0482-0325-0042-66,E,6495,"31,919","18,789","7,522","7,643","7,853"
0513-6450-3990-49,I,8173,0,0,105,0,0
0519-9049-2372-55,I,2120,"6,401",0,"6,568","6,700","6,802"
0520-6039-5800-00,I,3682,"5,410","5,200","4,147","4,231","4,295"
0524-2476-7717-30,I,5558,"6,580",0,"5,669","5,783","5,871"
0524-6728-3439-34,I,6663,"14,626","17,881","16,504","16,837","17,091"
0525-9307-3970-00,I,1570,"15,093",0,"17,276","17,624","17,891"
0527-8605-8150-00,I,3509,0,0,0,0,0
0527-8622-6020-00,I,8697,0,0,0,0,0
0528-3877-5600-00,I,2543,"4,394",0,"3,523",0,"3,648"
0528-4682-6147-86,I,8221,"12,436","12,399","12,952","13,213",0
0528-9287-6010-00,I,5683,0,"10,570","13,513","13,785","13,994"
0529-3996-1320-00,I,5617,0,0,0,0,0
0532-5440-7980-00,I,2644,"20,659","50,513","68,175","69,550","70,600"
0532-8286-2921-08,I,8294,"17,879","18,371","18,056","18,420","18,698"
0533-0029-7300-00,I,2113,"11,381","11,000",0,"12,469","12,658"
0548-5314-6613-05,I,5200,"5,360","5,719","6,459","6,589","6,689"
0548-5314-6613-05,E,6469,0,0,0,0,0
0548-5314-6613-05,W,3262,"80,743","94,308","95,453","96,995","98,490"
0548-5314-6613-05,O,9593,0,0,0,0,0
0548-5314-6613-05,T,8444,0,"217,860","222,649",0,"216,854"
0548-5314-6613-05,I,2205,0,0,27,28,28
0577-7656-9342-82,I,2534,"17,386",0,0,0,0
0620-8322-1624-45,I,9553,17,0,0,0,0
0622-0577-4852-20,I,2138,"136,601","118,960","125,970","128,510","130,452"
0623-1697-1321-37,I,1550,"43,362","141,189","150,444","153,477","155,796"
0623-4475-4407-18,I,2538,"7,384","6,823","5,666","5,780","5,868"
0624-0674-9330-68,I,2656,"224,008","213,658","236,729","241,502","245,151"
0625-6899-2780-00,I,6500,"12,994","3,668","7,130","7,274","7,384"
0627-1598-8660-00,I,2106,"4,431",5,"4,678","4,772","4,844"
0628-5156-7863-79,E,2661,"24,335,397","30,793,738","38,380,779","3,899,682","40,067,183"
0628-5766-8680-00,I,2265,"20,160","20,896","20,072","20,477","20,786"
0629-4431-0425-81,E,6491,"6,061,126","4,901,403",0,"6,033,642",0
0629-8883-4940-00,I,8663,"30,220","34,808","34,195","34,884",0
0631-2883-4700-00,I,2698,"5,669","5,687","5,820","5,937","6,027"
0632-7530-7270-00,I,3362,0,0,0,0,0
0642-4569-5610-38,W,2270,"134,710","137,678","155,500","158,012","160,448"
0648-9392-0871-80,W,4341,"116,571","113,887","119,223","121,149","123,016"
0650-7353-8180-00,W,8189,"377,006","416,675","443,334","450,495","457,440"
0662-8618-1326-74,E,6471,"8,346","9,968","8,383","8,518","8,751"
0665-3166-4138-49,E,6458,"10,198","7,402","5,196","5,279","5,424"
0697-8241-1434-93,T,3668,"2,322","3,948",0,0,0
0716-7894-8704-34,I,6484,"6,045","9,267","13,060",0,"13,525"
0720-4648-9834-30,I,3502,998,0,0,0,0
0722-5988-1920-00,I,5680,"8,548","9,223","11,901","12,141","12,324"
0722-6001-5115-89,I,6431,"21,739",0,"24,009","24,493","24,863"
0724-1183-8245-65,I,2259,"3,400","6,288",0,"5,995","6,086"
0724-3533-9331-66,I,3572,"33,964","35,296","47,714","48,676","49,412"
0724-8383-4520-00,I,1531,"69,770","79,675","84,157","85,854","87,151"
0725-3716-4590-00,I,5638,"10,609","9,348","8,887","9,066","9,203"
0725-7274-4367-79,I,6496,0,"10,643","11,544",0,"11,955"
0728-0220-4050-00,I,8294,"9,145","9,270","7,119","7,263","7,372"
0728-1331-0850-00,I,5272,"19,750","18,210","16,057",0,"16,628"
0732-0262-9220-00,I,2251,0,0,0,0,0
0732-9653-2390-00,I,1648,"10,915","11,837","15,098","15,402","15,635"
0733-1384-4790-00,I,3689,"5,284","6,679","6,388","6,517","6,615"
0742-6870-6230-00,W,4619,"298,385","352,552","387,786",0,"400,125"
0743-1229-5537-14,W,2682,"102,165","122,366","101,963","103,610","105,207"
0743-2254-0270-00,W,9644,"12,235","12,094","74,173","75,371","76,533"
0744-0327-6670-68,W,1606,"122,161","147,664",0,"158,571","161,015"
0764-7628-7292-74,I,3582,"2,247","2,237","4,666","4,760","4,832"
0765-3286-9138-80,E,7396,0,0,0,0,0
0770-2448-3204-95,I,2664,"10,783","12,504","8,659","8,834","8,967"
0773-4436-3444-83,I,3346,0,0,0,0,0
0780-8594-9205-57,E,6421,"5,058",0,0,0,0
0804-2381-3855-95,T,5653,"129,789",0,0,0,0
0816-4631-3810-14,I,1512,0,0,0,0,0
0816-8909-8108-27,I,2257,"106,170","108,190","141,485","144,338","146,519"
0817-8386-4019-79,I,8681,"13,202","5,625","21,194","21,621","21,948"
0820-6802-2617-03,I,7192,0,0,0,0,0
0825-1999-0690-00,I,1580,"5,964",0,"7,331","7,479","7,592"
0826-2317-3233-28,I,3301,"4,706","4,563","5,153","5,257","5,336"
0827-2902-2390-00,I,7356,"9,161","9,225","9,536","9,728","9,875"
0827-7644-3440-00,I,2892,"19,606","20,845","20,645","21,061","21,379"
0828-4553-9551-40,I,2572,"17,157","18,262","18,103","18,468","18,747"
0829-3190-4177-35,I,8278,"42,553","45,326","42,262","43,114","43,766"
0830-0184-8730-00,I,3610,0,0,"4,234","4,319","4,385"
0830-2310-3460-00,I,3640,"8,869",0,"9,250","9,436","9,579"
0830-4160-7175-26,I,3604,"5,592",0,"6,794","6,931","7,036"
0841-0281-7270-00,E,6401,0,"46,503","76,101","77,322","79,445"
0843-5475-3510-00,W,2217,0,0,0,0,0
0844-3885-4400-00,W,8156,"268,487",0,"250,914","254,967","258,898"
0851-7092-9500-00,T,2189,"67,586","68,703","59,683","58,920","58,130"
0853-1280-5702-63,I,2599,"5,813",0,0,0,0
0859-7116-0769-25,T,8619,"3,476,662","3,595,186","3,316,771","3,274,354","3,230,444"
0863-5561-7656-88,I,3393,"47,385","52,288","58,420","59,598","60,498"
0863-5885-9296-45,E,3246,"51,344","36,809","24,297",0,"25,365"
0866-8646-3376-82,I,3335,"16,243","17,539","17,520","17,873","18,143"
0869-3036-7683-47,I,2581,"6,550","11,786","12,751","13,008","13,205"
0871-5492-7258-12,I,2561,0,"3,921","4,793","4,890","4,964"
0874-4203-7786-71,E,6544,0,0,0,0,0
0875-6382-0681-30,E,6412,"5,222","2,616","2,896","2,942","3,023"
0877-2764-0502-01,I,3677,"60,849","26,894",0,0,0
0877-4258-0550-23,E,6420,"4,821","4,580","4,131","4,197","4,313"
0878-7188-2895-83,E,6445,"39,599","37,018","45,304","46,031","47,295"
0885-0474-4061-83,E,6442,"13,842","13,398","14,323","14,553","14,952"
0912-2170-8806-89,I,2665,0,"29,620","31,597","32,234","32,721"
0914-5378-4777-98,I,3686,0,0,"20,536","20,950","21,267"
0914-8990-3217-66,I,1605,"13,478","10,286","12,977","13,239","13,439"
0918-9834-3814-70,I,8211,"14,233","15,633","16,353","16,683","16,935"
0921-7369-8881-11,I,2224,"27,277","27,187","23,233","23,701","24,060"
0922-3952-6240-00,I,6479,0,0,0,0,0
0922-5542-5590-00,I,1528,0,"34,204","38,224","38,995",0
0922-9073-0097-99,E,6418,"416,145","241,631","178,392",0,"186,230"
0922-9151-9472-62,I,2245,"113,489","190,477","183,958","187,667","190,503"
0925-3732-7600-10,I,5363,"124,964","128,517",0,"152,361","154,663"
0927-0356-7910-00,I,2202,"259,199","59,240","48,005","48,973","49,713"
0927-9036-8969-98,I,6626,"4,952","5,484","6,201","6,326","6,422"
0929-0254-4148-05,I,2554,"8,558","8,209","9,615","9,809","9,957"
0929-0675-9600-00,I,2239,"12,887","13,383","13,400","13,670","13,877"
0930-2636-6431-73,I,6424,"72,348","76,922","82,569","84,234","85,507"
0931-0304-9830-71,I,6406,"70,395","83,924","97,140","99,099","100,596"
0934-0681-9060-00,I,6418,0,0,0,0,0
0943-7764-6373-13,W,5606,"125,519","128,137","135,156","137,339",0
0945-0303-4570-00,E,3282,0,0,"77,789","79,038","81,207"
0946-7562-3550-00,E,6559,0,"3,787","3,231","3,283","3,373"
0960-7024-0667-70,I,4609,"19,005","20,314","21,154","21,581","21,907"
0960-9188-9721-18,I,6435,"11,830","11,817","1,943","1,982","2,012"
0962-8185-4590-42,I,2519,"3,985","3,525","5,661","5,775",0
0969-4068-4720-87,I,5638,0,0,0,0,0
0969-8847-8966-31,I,2267,"4,601",0,"2,501",0,"2,590"
0973-4324-3073-88,I,6451,"4,569",0,0,0,0
0982-4296-8136-02,E,6403,"25,878","20,139","25,305","25,711","26,417"
0999-4391-9535-09,T,6485,"440,336",0,0,0,0
1010-9140-0919-33,I,3307,"39,842","39,760","44,568","45,467","46,154"
1013-2870-6748-49,I,3682,"1,424,115","1,527,986","1,303,745","1,330,031","1,350,129"
1022-8123-5780-65,I,3267,679,"38,394","210,169","214,406","217,646"
1024-3729-3060-00,I,2290,0,0,0,0,0
1025-2224-9570-61,I,5698,"14,779","14,558","12,788","13,046","13,243"
1030-1298-5020-00,I,6442,"720,276","755,118","832,333","849,114",0
1031-8128-5540-00,I,2646,"3,831","3,980","3,679","3,753","3,810"
1032-0086-0610-00,I,3385,"8,908","11,365","9,808","10,006","10,157"
1032-3711-4070-24,I,2696,"5,702","5,383","5,788","5,905","5,994"
1045-1311-3610-00,E,7110,"154,411","138,605",0,"115,682","118,858"
1047-0744-1922-97,W,6656,"603,923","599,017","662,977","673,686","684,072"
1047-5066-2530-00,W,3112,"244,930","270,384","490,746","498,673","506,361"
1058-4723-3960-00,T,2667,0,0,0,0,0
1063-0349-6531-69,I,7363,"4,109","2,957","2,277","2,323","2,358"
1064-3511-0310-98,I,3618,"1,444",684,"1,876","1,914","1,943"
1078-5063-5509-12,E,6486,"26,751","26,820","25,479","25,888","26,599"
1083-1346-8369-71,W,2176,"360,974","364,419","530,092","538,655",0
1117-6916-4039-97,I,1518,0,0,0,0,0
1119-6808-4318-31,I,9594,"985,778","1,290,444",0,"1,890,695","1,919,265"
1120-7310-7301-58,I,2564,0,"13,319","13,632",0,"14,117"
1122-3377-1467-87,I,2652,"119,329","141,371","141,392",0,"146,422"
1123-7315-2890-00,I,5632,"101,065","117,805","115,134","117,455","119,230"
1125-2339-9920-00,I,6466,"401,912","379,395","392,629","400,545","406,598"
1126-1986-9942-37,I,2690,"27,671","32,878","45,575","46,494","47,196"
1126-8366-6890-00,I,5687,"27,810","33,848","35,391","36,105","36,650"
1128-5047-4840-00,I,3324,"2,000",0,"2,133","2,176","2,209"
1128-5408-1670-00,I,2667,"8,568",0,"8,696","8,871","9,005"
1128-8961-4676-40,I,6422,0,"20,910","19,242","19,630","19,927"
1128-8961-4676-40,I,2103,0,"123,249","116,572","118,922","120,719"
1140-1332-1000-00,E,2192,"3,933,573","5,499,685","5,853,262","5,947,212","6,110,447"
1143-1029-8807-86,W,2202,"230,227","222,781","210,805",0,"217,512"
1145-6508-0060-00,E,6669,0,0,0,0,0
1157-0741-1740-00,T,5207,"7,093,807",0,"6,317,244","6,236,455","6,152,823"
1160-6036-7540-03,I,6424,"10,599","9,445","5,255","5,361","5,442"
1169-1030-3960-44,E,6484,0,0,0,0,0
1174-8083-9611-75,W,3585,0,"85,063","66,716","67,794","68,839"
1175-1940-9172-18,E,7307,0,0,0,0,0
1176-8673-8458-12,I,6409,"25,103",0,0,0,0
1177-3790-1215-46,E,6400,"23,491","23,298","28,360","28,815","29,606"
1214-4992-0758-19,I,2617,"1,447",0,"143,892","146,793","149,011"
1218-1911-5648-80,I,2535,0,"9,627","17,520","17,873","18,143"
1222-2375-1502-70,I,2660,"3,125","3,616","4,088","4,170","4,233"
1222-4942-7766-78,I,1568,"4,109","4,720","5,398",0,"5,590"
1222-6199-2498-86,E,2817,"542,550","481,592","673,866","684,682","703,475"
1223-5903-6406-99,I,3251,"39,321","44,407","47,765","48,728","49,464"
1223-8795-2454-91,E,2843,"355,932","400,828",0,"138,292","142,087"
1225-4325-0050-45,I,2151,"10,725","12,376","13,778","14,056","14,268"
1225-7567-3839-44,I,2293,0,0,"1,913","1,952","1,981"
1226-3939-2685-72,I,2202,"35,269","34,192","31,498","32,133",0
1228-5192-7770-00,I,8383,"14,168",0,0,"21,742","22,070"
1229-3414-1010-00,I,2610,"10,211","7,227","7,134","7,278","7,388"
1229-5570-2265-44,I,3368,"13,315","12,153","14,465","14,757","14,980"
1232-0335-0850-00,I,4614,"3,123","4,192","2,382","2,430","2,467"
1234-6004-1736-12,W,5610,"323,331",0,"418,477","425,237","431,792"
1241-5819-2230-00,W,7379,0,"84,901","82,491","83,824","85,116"
1251-5024-7750-00,W,2174,"342,939","387,133","357,735","363,514","369,117"
1252-2716-0887-79,I,2651,"6,087",0,"5,091","5,194","5,272"
1265-0879-6147-14,I,3643,"5,548","8,572","8,951","9,131","9,269"
1275-7293-2861-83,E,6438,"67,419",0,"27,995",0,"29,225"
1283-3959-9480-68,W,3645,0,"130,826","118,223","120,133","121,985"
1299-6650-5619-79,O,9522,0,0,"26,826","27,259","27,680"
1317-3726-1668-40,I,2836,"15,592","16,238","18,294","18,663","18,945"
1318-0330-0866-26,I,2286,"230,915","225,456","240,826","245,681","249,394"
1318-5316-9002-86,I,2630,"65,100","155,662","26,784","27,324","27,737"
1321-2125-5745-82,E,5619,0,0,"35,148","35,712","36,692"
1324-1477-3330-00,I,8649,0,0,0,0,0
1324-8124-2435-70,E,6412,0,"24,222,820","28,479,163","28,936,276","29,730,502"
1325-4972-4080-00,I,5218,"52,520","32,465","38,194","38,964","39,553"
1326-0283-6850-00,I,2648,"41,050","53,648","61,097","62,329","63,271"
1326-4512-8226-44,I,2511,"11,618",0,"17,151","17,497","17,761"
1329-1716-4950-00,I,3686,"48,943","58,530","60,385","61,602",0
1329-9383-9824-21,E,2214,0,0,0,0,0
1330-0678-1987-10,I,6438,"82,285","74,458","92,685","94,554","95,982"
1331-8084-6226-64,I,2208,0,0,"3,266","3,332","3,382"
1332-5390-5755-91,E,3394,"30,113,919","30,988,766","25,826,426","26,240,961","26,961,207"
1344-7117-6890-00,E,6415,"12,034","7,450","19,119","19,426","19,959"
1354-9730-1841-12,I,2187,"6,826",0,"8,135","8,299","8,424"
1359-0018-4200-31,I,3262,0,0,0,0,0
1365-3718-9193-20,I,3699,0,0,"3,268","3,334","3,384"
1365-5213-6497-07,I,7390,0,0,0,0,0
1367-2681-5831-84,I,2587,"4,303","3,812","6,746","6,882","6,986"
1401-4936-6785-78,O,2823,"33,464","52,964",0,"56,803","57,679"
1403-6062-1141-27,O,2835,0,0,0,0,0
1414-3916-6464-61,I,8266,"519,150","552,343","584,753","596,543","605,557"
1419-5701-5482-13,I,9557,0,0,0,0,0
1425-5100-8660-00,I,3686,"93,283","104,520","106,848","109,002",0
1426-3133-2562-99,E,3604,"4,117,874","2,398,265","3,544,801","3,601,698","3,700,555"
1426-4909-5683-63,I,2297,"12,453","10,074","12,836","13,095","13,293"
1428-0509-9760-00,I,2657,"6,999","7,366","7,895","8,054","8,176"
1428-2297-3013-54,I,2286,"1,446","1,989",354,361,367
1430-4392-9951-49,E,6419,"19,602,195","19,126,026","18,937,254","19,241,212","19,769,333"
1432-1015-9040-00,I,2204,"20,962","23,948","22,911","23,373","23,726"
1434-3351-8600-00,E,2244,"56,721","61,908","25,963","26,380","27,104"
1434-9641-3830-00,E,3512,"201,119",0,"79,035","80,304","82,508"
1437-9008-9910-00,E,7392,"58,806","45,347","39,608","40,244","41,348"
1440-7342-9410-00,W,2252,"307,651","445,293","417,377","424,119","430,657"
1441-2069-2500-00,E,2243,"6,855",0,0,"5,348","5,495"
1441-6536-6610-00,E,7346,"9,937","7,942","5,834","5,928","6,090"
1444-7228-4651-66,W,7368,"168,224","178,775","170,208","172,957","175,624"
1447-2894-3710-00,E,7343,0,0,0,0,0
1447-6679-9120-00,W,5309,0,0,0,0,0
1451-5709-5340-00,T,3614,"933,125","853,221","804,869",0,"783,920"
1452-0568-2650-00,W,2271,0,0,0,0,0
1469-9766-8520-56,I,6446,0,0,0,0,0
1477-0410-9843-59,I,6409,"307,494","227,795",0,0,0
1479-3173-4830-30,E,4697,"26,355","23,591",0,"27,144","27,889"
1501-2883-8246-68,O,2212,"710,828","999,738","897,082","911,573","925,625"
1515-0581-4782-54,I,2631,"6,367","6,229","6,245","6,371","6,467"
1517-6326-5785-21,I,1649,"51,609","37,448","43,272","44,144",0
1521-4335-5912-49,I,2624,0,0,0,0,0
1521-6188-8010-00,I,3665,"14,113","15,610",0,"15,956","16,197"
1523-4880-4850-00,I,2685,"3,784","7,437","10,915","11,135","11,303"
1524-5353-8300-00,I,4668,0,0,0,0,0
1524-6427-9390-00,I,5650,"84,379","99,213","101,931","103,986","105,557"
1524-9650-2660-00,I,8366,"32,615","37,510","37,782","38,544","39,126"
1531-8380-5030-00,I,4627,"93,239",0,"95,415","97,339","98,810"
1535-6286-6580-00,I,5200,"7,466","8,859","8,541","8,713","8,845"
1543-0942-7860-00,E,7340,0,84,107,109,112
1549-5065-2740-00,W,8603,"175,980","216,700","195,672","198,833","201,898"
1551-9355-2712-21,I,6480,"14,528","14,075","13,826","14,105","14,318"
1561-2704-8239-88,I,2151,0,0,0,0,0
1563-5088-9110-36,I,8413,327,"1,622","11,030","11,252","11,422"
1566-4708-3657-50,I,3331,0,0,0,0,0
1567-3630-8342-51,I,3689,0,0,0,0,0
1575-0697-1009-59,I,6428,"10,682","10,394",0,0,0
1577-9928-2443-28,E,1539,"4,760","5,252","7,485","7,605","7,814"
1616-8271-5941-79,I,1545,"1,021,977","977,494","1,159,451","1,182,828","1,200,701"
1624-5511-3110-55,E,5619,"348,185","95,112","219,407","222,929","229,047"
1624-6852-4069-27,I,3651,"7,182","5,980","4,871",0,"5,044"
1625-7289-5830-00,I,8200,"14,089","14,772","14,430","14,721","14,943"
1626-3585-0400-00,I,1502,0,"297,692",0,0,0
1627-5067-2680-00,I,2822,"8,610","9,344","10,027","10,229","10,384"
1627-5650-4950-19,I,6482,0,0,0,0,0
1630-0174-9630-00,I,2634,"9,109","9,786","8,816","8,994","9,130"
1632-5140-4100-00,I,3228,"8,303","7,566","10,551","10,764","10,926"
1644-8763-1257-24,T,2652,"2,867,907","2,933,113","3,074,689",0,"2,994,663"
1650-4975-3194-86,W,3678,0,0,0,0,0
1660-0677-3445-44,I,8180,0,0,0,0,0
1669-0329-9397-84,I,2845,"6,690","7,476",0,0,0
1698-5842-9754-56,T,7363,"164,161","43,312",0,"126,916","125,214"
1719-1517-9042-25,I,2243,0,"18,589","20,273","20,682","20,994"
1719-7275-3447-49,I,4244,"13,374","7,466","24,208","24,696","25,069"
1720-9598-4151-64,E,1606,"6,958,517","7,658,365","8,384,792","8,519,375",0
1722-0360-8753-82,I,2502,"7,364","5,022","7,156","7,300",0
1722-3279-2758-96,I,3626,"12,860","9,768","10,500",0,"10,874"
1726-2167-9762-02,I,6461,"22,940","15,200","22,212","22,660","23,002"
1726-9425-2954-94,I,6468,"12,366","9,575","8,050",0,"8,336"
1727-1530-6910-00,I,2651,"12,068","12,256",0,"13,894","14,104"
1727-7915-1100-00,I,2818,"9,950","13,615","15,861","16,181","16,425"
1728-1264-9160-00,I,9564,"21,301","21,806","22,957","23,420","23,774"
1760-0761-9370-00,T,9520,"9,866,134","9,364,834","8,891,845",0,"8,660,414"
1762-4081-1593-20,I,6477,0,0,"6,668","6,802","6,905"
1763-3131-1970-33,I,6443,0,0,0,0,0
1766-0334-8609-59,I,6442,0,"4,262","4,242","4,328","4,393"
1772-3176-2992-28,I,8157,0,0,0,0,0
1777-0574-4816-08,I,6434,"122,575",0,0,0,0
1784-5051-5605-57,W,3243,"144,838",0,"124,613","126,626","128,578"
1814-1447-3139-85,I,8209,"1,545,416","1,104,204","1,141,999","1,165,024",0
1817-3416-5252-29,I,2869,"288,925","235,967","278,972","284,597","288,897"
1819-9131-9252-88,I,1598,"3,140","3,388","1,760","1,795","1,823"
1820-2412-1070-00,I,9583,"7,120","7,031","10,407","10,617","10,777"
1820-4888-3890-00,I,6433,0,0,0,0,0
1820-9794-5200-00,I,2289,"14,676","13,367","14,532","14,825","15,049"
1823-5315-8117-39,E,2259,0,0,"10,000",0,0
1823-5387-4280-00,I,2158,0,"5,523","50,019","51,027","51,799"
1824-0039-9820-62,I,3669,"4,606","5,554","8,322","8,490","8,618"
1824-6723-0817-76,I,6449,"7,672","7,621","7,290","7,437","7,549"
1824-9625-2108-86,I,3613,"6,348","4,746","5,777","5,893","5,983"
1825-3233-9697-89,I,3623,"13,909","15,889","16,797","17,136","17,395"
1825-5992-7413-24,E,2629,"38,317,850","38,477,800","39,172,096","39,800,840","40,893,269"
1825-6154-1243-56,I,2836,"5,967","7,107","8,685","8,860","8,994"
1825-6419-6102-94,E,2207,0,0,0,0,0
