Year,Buildings & Land Use,"Energy, Manufacturing & Construction",Industrial Processes & Product Use,Other,Transport,Waste,Total,Population,"Gross Domestic Product
(current Ƥ)",Land Area (sq KM),"Forested Land
(sq KM)",Percent of Population in Urban Areas (1MM+),Energy Use (kg of oil equivalent per capita),"Renewable Energy Consumption
(percent of total energy consumption)",Built-up Land,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total
2005,"183,695,198","542,286,489","85,691,465","4,065,389","144,156,308","52,605,021","1,012,499,870","17,769,995","432,670,502,070","162,085","40,092",23.8%,"26,976",11.0%,"2,307,135","47,156,192","3,032,840","34,999,539","5,032,249","92,527,954","2,318,590","95,007,211","49,386,095","3,399,262","18,944,660","5,333,391","174,389,210"
2006,"87,602,573","568,537,761","91,478,259","4,149,539","151,037,933","54,152,818","956,958,884","17,908,211","470,821,777,747","163,228","40,334",24.2%,"27,107",10.9%,"2,171,761","45,608,141","3,066,437","34,762,849","5,100,108","90,709,296","2,186,978","104,905,499","48,449,271","2,632,397","19,755,563","5,843,160","183,772,868"
2007,"80,731,193","586,631,655","95,344,999","4,231,789","161,811,181","55,943,347","984,694,165","18,047,023","561,829,339,982","163,555","40,134",24.7%,"26,490",10.7%,"2,224,323","42,892,276","3,062,953","34,491,312","5,034,139","87,705,004","2,217,670","113,049,869","49,079,740","2,292,689","21,545,109","6,159,068","194,344,146"
2008,"97,800,550","562,413,733","96,858,806","4,004,282","160,809,589","57,171,957","979,058,916","18,181,567","644,953,051,228","164,212","39,975",25.1%,"26,744",11.2%,"2,142,660","40,580,439","3,059,394","35,458,044","5,085,724","86,326,262","2,159,853","110,224,088","48,619,502","2,085,800","21,026,152","5,721,143","189,836,538"
2009,"94,311,197","531,683,723","102,990,485","4,902,288","160,513,324","58,087,023","952,488,040","18,341,508","570,645,167,182","165,536","40,298",26.0%,"25,209",12.0%,"2,390,239","44,960,393","3,061,211","35,275,257","5,032,504","90,719,604","2,406,888","105,704,009","49,517,635","2,225,176","20,116,470","5,187,643","185,157,820"
2010,"108,230,015","570,498,092","117,461,018","4,477,230","161,323,634","58,206,589","1,020,196,579","18,497,535","617,861,419,300","166,034","39,979",26.5%,"26,698",12.8%,"2,459,673","45,346,319","3,052,614","35,942,626","5,053,310","91,854,543","2,476,925","116,406,760","49,012,423","2,289,469","21,736,792","5,324,400","197,246,770"
2011,"167,268,708","575,335,776","113,239,840","4,432,609","158,815,424","57,626,495","1,076,718,852","18,683,037","676,029,124,942","167,205","40,021",26.8%,"25,775",12.8%,"2,502,752","45,141,594","3,073,291","35,984,496","5,048,163","91,750,295","2,512,763","122,629,275","51,235,698","1,940,653","22,782,287","6,961,744","208,062,420"
2012,"180,188,826","558,690,907","108,757,775","3,643,495","158,608,799","47,367,553","1,057,257,356","18,878,964","664,302,772,635","168,214","39,943",27.0%,"25,112",12.7%,"2,504,005","44,586,620","3,033,906","36,134,621","5,079,875","91,339,026","2,534,083","121,085,018","49,847,972","2,590,480","23,654,391","6,644,768","206,356,713"
2013,"163,497,730","543,133,850","104,000,956","3,357,333","160,396,651","43,647,279","1,018,033,799","19,073,883","711,577,102,597","168,214","39,863",26.9%,"24,822",13.6%,"2,589,317","45,061,135","3,073,193","36,434,461","5,088,328","92,246,434","2,607,442","118,892,837","48,540,550","2,090,685","23,125,958","6,071,303","201,328,775"
2014,"145,518,669","534,456,703","99,489,342","3,220,420","160,102,523","41,867,328","984,654,985","19,285,317","723,885,209,182","168,720","39,666",27.4%,"23,664",13.0%,"2,599,579","43,966,639","3,066,770","35,856,605","5,054,267","90,543,860","2,607,331","120,076,990","48,636,910","2,174,247","24,428,439","5,361,749","203,285,667"
2015,"143,795,486","526,049,236","99,513,056","3,212,218","163,070,863","41,760,703","977,401,563","19,494,402","648,124,448,960","168,045","39,823",27.6%,"22,701",13.0%,"2,708,802","46,718,555","3,057,881","36,039,866","4,989,255","93,514,359","2,711,503","122,921,675","50,070,497","2,175,859","24,881,137","5,799,800","208,560,471"
2016,"141,370,402","511,996,270","98,031,719","3,163,452","165,287,402","41,126,714","960,975,959","19,702,538","659,629,318,586","166,365","39,425",27.7%,"22,878",13.1%,"2,686,189","45,129,600","3,104,438","36,880,263","4,999,540","92,800,030","2,696,849","128,913,177","48,260,733","2,650,333","25,125,700","6,378,298","214,025,090"
2017,"140,517,423","503,908,141","96,094,290","3,113,164","167,428,574","40,472,937","951,534,529","19,912,216","692,356,192,360","165,533","39,738",27.7%,"23,038",13.1%,"2,686,189","45,039,341","3,116,856","36,880,263","4,989,541","92,712,190","2,723,817","128,784,264","48,453,776","2,690,088","25,326,705","6,473,973","214,452,623"
2018,"134,355,788","488,302,481","91,471,269","3,044,300","165,689,566","39,577,662","922,441,064","19,886,252","711,726,343,772","164,871","40,014",28.0%,"23,220",13.2%,"2,688,875","45,444,695","3,123,090","37,249,065","5,024,467","93,530,193","2,748,331","129,814,538","48,986,767","2,698,159","25,529,319","6,551,660","216,328,775"
2019*,"131,591,888","478,690,473","88,495,505","2,952,456","167,069,539","38,383,635","907,183,495","20,000,000","725,747,352,744","163,387","39,654",0.0%,"23,303",13.2%,"2,710,386","45,217,472","3,166,813","37,733,303","5,104,859","93,932,833","2,773,066","130,593,425","48,741,834","2,700,857","25,708,024","6,558,212","217,075,418"
